var,rel_imp
other.group.percent,0.082347075
penalty.frequency,0.073766372
MPA.Size,0.038112505
user.spec.rules,0.032861082
penalties.match.offense,0.027804066
graduated.sanctions,0.025926297
MPA.age,0.025852932
management.rights,0.024234819
decision.making.participation,0.017981817
percent.fishers.p.t,0.015208215
govt.support,0.009039298
rule.making.participation,0.005782652
percent.fishers.primary,0.004319163
marine.group.percent,0.004189049
Attachment.Score,0.003879296
rules.match.soc,0.003245534
groups.monitor.eco,0.002887948
diversity.primary.livelihoods,0.002876538
groups.monitor.soc,0.002837878
groups.monitor.compliance,0.00263412
PercentProtein,0.002529617
NTZ.area,0.00244023
harvest.rights,0.00234289
num.local.threat,0.001937097
PercentIncomeFish,0.001145178
clear.boundaries,0.000544664
rules.match.eco,0.000401428
groups.enforcing.pens,0.000223458
Type.of.Zone,-0.000720024
