mpa_eff,Type.of.Zone,MPA.age,MPA.Size,NTZ.area,percent.fishers.primary,percent.fishers.p.t,diversity.primary.livelihoods,Attachment.Score,PercentProtein,PercentIncomeFish,harvest.rights,management.rights,num.local.threat,marine.group.percent,other.group.percent,decision.making.participation,rule.making.participation,groups.monitor.eco,groups.monitor.soc,groups.monitor.compliance,groups.enforcing.pens,clear.boundaries,user.spec.rules,govt.support,rules.match.eco,rules.match.soc,penatly.frequency,graduated.sanctions,penalties.match.offense
-1.155896751,USE,4,149208,15955,0.061778719,0.936557987,4.074736306,4.052881497,4.557329331,2.575780196,1.877561641,1.068875665,1.052835986,0.378857728,0.721248352,0.536166369,0.5585931,0.482334521,0.074736306,0.158425508,0.086373632,1.844866056,0.001939554,3.073303202,1.740056021,1.375157118,2.310653927,2.157367741,1.505840908
-0.672951602,USE,4,149208,15955,0.063640307,0.936641848,4.150639321,4.069237052,4.574550266,2.595658992,1.869228258,1.08769513,1.175605832,0.374984756,0.71879296,0.545449121,0.595124385,0.498215756,0.150639321,0.232576653,0.18303904,2.372602163,0.005399953,3.071352528,1.661159854,1.339888499,2.445476658,2.350522659,1.626914978
1.115834343,NTZ,4,149208,15955,0.063978396,0.935925749,4.182480314,4.077231172,4.578590751,2.606076406,1.865450437,1.090998403,1.226957443,0.37015444,0.716252652,0.543707197,0.607007211,0.50842025,0.182480314,0.26834061,0.22797798,2.64191217,0.007582944,3.065815631,1.615792592,1.317499938,2.508448004,2.459397988,1.675173862
-0.338024484,NTZ,4,149208,15955,0.064075074,0.936593716,4.173776368,4.074647059,4.579311441,2.602807005,1.866719099,1.092410636,1.212920362,0.372987115,0.717538176,0.546838129,0.605862827,0.502675242,0.173776368,0.256981567,0.214591822,2.550062563,0.006802576,3.069099332,1.633267297,1.327076182,2.489882248,2.421998489,1.663134038
-1.223094178,USE,4,149208,15955,0.064346711,0.937815521,4.163214556,4.071200366,4.581755116,2.598575176,1.868470887,1.096074381,1.195876335,0.377683124,0.719571313,0.552846348,0.606299545,0.493045287,0.163214556,0.241975683,0.197581146,2.424110102,0.005727765,3.074486745,1.658583874,1.341553621,2.466487151,2.371109889,1.64947668
-1.557483476,USE,4,149208,15955,0.065480344,0.934317605,4.270019987,4.097402024,4.591936516,2.630152106,1.854962756,1.104585248,1.368587928,0.36043998,0.711437854,0.545203106,0.641568552,0.537714357,0.270019987,0.359006448,0.342741996,3.311360095,0.012120335,3.057679636,1.507598534,1.264901972,2.667691326,2.705576718,1.810835634
-0.827932067,NTZ,4,149208,15955,0.056798774,0.931760332,4.254420874,4.121748295,4.56422934,2.700509941,1.860196791,1.041698705,1.33569075,0.312093168,0.679539701,0.456585081,0.617886491,0.490871933,0.254420874,0.462016288,0.46394775,4.271277736,0.034921146,2.95100082,1.281172227,1.146128316,2.865855453,3.511918835,1.743945969
-1.022520575,USE,4,149208,15955,0.060249324,0.931812925,4.279837576,4.117314327,4.575642871,2.67921999,1.855565011,1.066137053,1.37976683,0.326741006,0.690054723,0.487854833,0.632107958,0.519048068,0.279837576,0.444307206,0.443971571,4.071633465,0.027355666,2.988185048,1.338336816,1.176063205,2.826355026,3.264762083,1.798403494
-1.097841919,USE,4,149208,15955,0.062342101,0.931920925,4.294662481,4.114490101,4.582695905,2.66624545,1.852869688,1.081085006,1.405527086,0.335809387,0.696482084,0.507017709,0.64078029,0.535400335,0.294662481,0.43297743,0.43122654,3.945645436,0.022760677,3.010822593,1.373965062,1.194815181,2.801617212,3.11391311,1.830597735
-0.933529818,NTZ,4,149208,15955,0.058054562,0.931806706,4.26225143,4.119722656,4.568218298,2.692133432,1.858666036,1.050530892,1.349460176,0.317719872,0.683541937,0.46818525,0.622522862,0.500839208,0.26225143,0.453737067,0.454370462,4.184535119,0.032019839,2.964989976,1.304450165,1.158236683,2.848176803,3.415316893,1.761685563
